iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	to_user	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	place
"en"	"None"	"None"	"Thank You sister in law LMAO! RT @Mz_Vicious: Happpy BirthdayyyyyY !!!!!! Hope u have a great day!!!!!!! *hugs* @BLANQU1TO"	"Wed, 30 Mar 2011 14:17:55 +0000"	"http://a1.twimg.com/profile_images/1268342795/272259580_normal.jpg"	"53098634966863873"		"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53098634966863873"	"BLANQU1TO"	"187583084"	"{u'result_type': u'recent'}"	"None"	"187583084"	"nyc"	
"en"	"75777055"	"75777055"	"@dana_roo well I hope the fact were going to moes later does cheer you up some."	"Wed, 30 Mar 2011 14:17:24 +0000"	"http://a2.twimg.com/profile_images/1221474107/eiffel_tower__paris__france_normal.jpg"	"53098505048293376"	"daNa_roo"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"53098505048293376"	"eericatt123"	"197116013"	"{u'result_type': u'recent'}"	"None"	"197116013"	"New York"	
"en"	"29088408"	"29088408"	"@2AMkwon glad you had a good time!! Hope you are feeling better after the accident."	"Wed, 30 Mar 2011 14:17:18 +0000"	"http://a1.twimg.com/profile_images/1212869532/728d4151-30b7-4316-9d09-2be840860a2a_normal.png"	"53098480436125696"	"2AMkwon"	"<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>"	"53098480436125696"	"julnyes"	"2963057"	"{u'result_type': u'recent'}"	"None"	"2963057"	"Brooklyn"	
"en"	"None"	"None"	"i hope all the selawat and zikir make me a better person"	"Wed, 30 Mar 2011 14:17:14 +0000"	"http://a2.twimg.com/profile_images/1278326326/180438_10150093507751799_599406798_6335023_896207_n_normal.jpg"	"53098463918952448"		"<a href="http://mobile.twitter.com" rel="nofollow">Mobile Web</a>"	"53098463918952448"	"Naulipaperplane"	"28256452"	"{u'result_type': u'recent'}"	"None"	"28256452"	"New York"	
"en"	"1409101"	"1409101"	"@Tim_Vetscher @marqkc I just hope he can defend Jeremy Lamb and get past him on the other end."	"Wed, 30 Mar 2011 14:17:04 +0000"	"http://a0.twimg.com/profile_images/1286028889/image_normal.jpg"	"53098420654718976"	"Tim_Vetscher"	"<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>"	"53098420654718976"	"joegrim"	"6128109"	"{u'result_type': u'recent'}"	"None"	"6128109"	"New York City"	
"en"	"None"	"None"	"Good morning everyone! I hope you all have a great day :)"	"Wed, 30 Mar 2011 14:16:59 +0000"	"http://a2.twimg.com/profile_images/1264140752/Sakina_profile_normal.jpg"	"53098399611887616"		"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"53098399611887616"	"SpiceofLife22"	"130305164"	"{u'result_type': u'recent'}"	"None"	"130305164"	"New York"	
"en"	"None"	"None"	"Happy Birthday @Dreamcatcher85! Hope you have a wonderful day!"	"Wed, 30 Mar 2011 14:16:59 +0000"	"http://a0.twimg.com/profile_images/1230431792/Me_-_smaller_normal.jpg"	"53098398735286272"		"<a href="http://twitter.com/">web</a>"	"53098398735286272"	"bumbumgirl"	"6240659"	"{u'result_type': u'recent'}"	"None"	"6240659"	"New York City"	
"en"	"None"	"None"	"Morning everyone I hope every one has a great drama-free day! Go hump someone"	"Wed, 30 Mar 2011 14:16:54 +0000"	"http://a1.twimg.com/profile_images/1292085058/Bocachula_KO_normal.jpg"	"53098376039899136"		"<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>"	"53098376039899136"	"Bocachula_KO"	"30295429"	"{u'result_type': u'recent'}"	"None"	"30295429"	"Newark, NJ, aka Brick City"	
"en"	"97984025"	"97984025"	"@GirlsLoveJamaal I hope you know what time it is... It's mustache time!"	"Wed, 30 Mar 2011 14:16:52 +0000"	"http://a2.twimg.com/profile_images/1281117732/33F98C2B-49A0-4B19-A3B8-A4DC4D22D512_normal.jpg"	"53098371174498304"	"GirlsLoveJamaal"	"<a href="http://twitter.com/">web</a>"	"53098371174498304"	"tony_mui"	"16550555"	"{u'result_type': u'recent'}"	"None"	"16550555"	"New York City"	
"en"	"None"	"None"	"Rain in NYC? NOOOOOOO!!!!! Hope the forecaster is wrong!"	"Wed, 30 Mar 2011 14:16:51 +0000"	"http://a0.twimg.com/profile_images/1290412290/37358_1514267101136_1368199461_1396824_7363642_n_normal.jpg"	"53098365235376128"		"<a href="http://twitter.com/">web</a>"	"53098365235376128"	"SimplyGeorgina"	"166060945"	"{u'result_type': u'recent'}"	"None"	"166060945"	"nyc"	
"en"	"7775372"	"7775372"	"@monamiee thanks lady - uhhg it really suck! Hope all is good :)"	"Wed, 30 Mar 2011 14:16:49 +0000"	"http://a2.twimg.com/profile_images/1205374472/tumblr_kwrrgyKNOd1qa2tmeo1_500_large_normal.jpg"	"53098359082328064"	"monamiee"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"53098359082328064"	"D_Han"	"14944603"	"{u'result_type': u'recent'}"	"None"	"14944603"	"New York"	
"en"	"819590"	"819590"	"@SergioRamos Happy Birthday, Sergio! I hope you get a chance to celebrate with family and friends!"	"Wed, 30 Mar 2011 14:16:33 +0000"	"http://a3.twimg.com/profile_images/1246812379/image_normal.jpg"	"53098289255559168"	"sergioramos"	"<a href="http://twitter.com/">web</a>"	"53098289255559168"	"sooyunah"	"112582904"	"{u'result_type': u'recent'}"	"None"	"112582904"	"New York, New York"	
"en"	"None"	"None"	"Possible noreaster this weekend in NYC. Bloomberg must outlaw April snow. Its our only hope!"	"Wed, 30 Mar 2011 14:16:31 +0000"	"http://a2.twimg.com/profile_images/273553370/IMG_2643_normal.JPG"	"53098280887918592"		"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"53098280887918592"	"ghtv"	"14233183"	"{u'result_type': u'recent'}"	"None"	"14233183"	"nyc"	
"en"	"None"	"None"	"Hope all is well..... With everyone."	"Wed, 30 Mar 2011 14:16:23 +0000"	"http://a1.twimg.com/profile_images/1292151709/throne_normal.jpg"	"53098248818266112"		"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"53098248818266112"	"MrLandaulet"	"261779608"	"{u'result_type': u'recent'}"	"None"	"261779608"	"Harlem, New York"	
"en"	"None"	"None"	"I hope it pour down like this tomorrow"	"Wed, 30 Mar 2011 14:16:08 +0000"	"http://a1.twimg.com/profile_images/1278847009/011433_normal.jpg"	"53098184746082304"		"<a href="http://twitter.com/devices" rel="nofollow">txt</a>"	"53098184746082304"	"iaTeYoCookies"	"145501944"	"{u'result_type': u'recent'}"	"None"	"145501944"	"North Carolina ✈ New York"	
"en"	"129431661"	"129431661"	"@Artisticsha me too for now, though im hoping to move into a new studio space soon. just hope i sell some work to help me afford it!"	"Wed, 30 Mar 2011 14:16:07 +0000"	"http://a1.twimg.com/profile_images/1252966387/IMG_0020_normal.jpg"	"53098181013155840"	"Artisticsha"	"<a href="http://twitter.com/">web</a>"	"53098181013155840"	"ThatArtistGirl"	"236631637"	"{u'result_type': u'recent'}"	"None"	"236631637"	"Brooklyn, NY"	
"en"	"95667932"	"95667932"	"@barrackoboma Thought you might be interested in http://www.ipolitics360.com a political social network. Hope to see you there!"	"Wed, 30 Mar 2011 14:15:48 +0000"	"http://a0.twimg.com/profile_images/1157501786/us_politics_normal.png"	"53098102839717889"	"barrackoboma"	"<a href="http://www.ipolitics360.com" rel="nofollow">PoliticsLane</a>"	"53098102839717889"	"PoliticsNow2011"	"176687205"	"{u'result_type': u'recent'}"	"None"	"176687205"	"New York, New York"	
